run,threads,alg,enabled_node,unmanaged_node
1,2,ft,0,1
1,2,cg,0,1
1,2,ep,0,1
2,2,ft,1,0
2,2,cg,1,0
2,2,ep,1,0
3,2,ft,0,1
3,2,cg,0,1
3,2,ep,0,1
4,2,ft,1,0
4,2,cg,1,0
4,2,ep,1,0
5,2,ft,0,1
5,2,cg,0,1
5,2,ep,0,1
6,2,ft,1,0
6,2,cg,1,0
6,2,ep,1,0
7,2,ft,0,1
7,2,cg,0,1
7,2,ep,0,1
8,2,ft,1,0
8,2,cg,1,0
8,2,ep,1,0
9,2,ft,0,1
9,2,cg,0,1
9,2,ep,0,1
10,2,ft,1,0
10,2,cg,1,0
10,2,ep,1,0
1,4,ft,0,1
1,4,cg,0,1
1,4,ep,0,1
2,4,ft,1,0
2,4,cg,1,0
2,4,ep,1,0
3,4,ft,0,1
3,4,cg,0,1
3,4,ep,0,1
4,4,ft,1,0
4,4,cg,1,0
4,4,ep,1,0
5,4,ft,0,1
5,4,cg,0,1
5,4,ep,0,1
6,4,ft,1,0
6,4,cg,1,0
6,4,ep,1,0
7,4,ft,0,1
7,4,cg,0,1
7,4,ep,0,1
8,4,ft,1,0
8,4,cg,1,0
8,4,ep,1,0
9,4,ft,0,1
9,4,cg,0,1
9,4,ep,0,1
10,4,ft,1,0
10,4,cg,1,0
10,4,ep,1,0
1,8,ft,0,1
1,8,cg,0,1
1,8,ep,0,1
2,8,ft,1,0
2,8,cg,1,0
2,8,ep,1,0
3,8,ft,0,1
3,8,cg,0,1
3,8,ep,0,1
4,8,ft,1,0
4,8,cg,1,0
4,8,ep,1,0
5,8,ft,0,1
5,8,cg,0,1
5,8,ep,0,1
6,8,ft,1,0
6,8,cg,1,0
6,8,ep,1,0
7,8,ft,0,1
7,8,cg,0,1
7,8,ep,0,1
8,8,ft,1,0
8,8,cg,1,0
8,8,ep,1,0
9,8,ft,0,1
9,8,cg,0,1
9,8,ep,0,1
10,8,ft,1,0
10,8,cg,1,0
10,8,ep,1,0
1,16,ft,0,1
1,16,cg,0,1
1,16,ep,0,1
2,16,ft,1,0
2,16,cg,1,0
2,16,ep,1,0
3,16,ft,0,1
3,16,cg,0,1
3,16,ep,0,1
4,16,ft,1,0
4,16,cg,1,0
4,16,ep,1,0
5,16,ft,0,1
5,16,cg,0,1
5,16,ep,0,1
6,16,ft,1,0
6,16,cg,1,0
6,16,ep,1,0
7,16,ft,0,1
7,16,cg,0,1
7,16,ep,0,1
8,16,ft,1,0
8,16,cg,1,0
8,16,ep,1,0
9,16,ft,0,1
9,16,cg,0,1
9,16,ep,0,1
10,16,ft,1,0
10,16,cg,1,0
10,16,ep,1,0
1,32,ft,0,1
1,32,cg,0,1
1,32,ep,0,1
2,32,ft,1,0
2,32,cg,1,0
2,32,ep,1,0
3,32,ft,0,1
3,32,cg,0,1
3,32,ep,0,1
4,32,ft,1,0
4,32,cg,1,0
4,32,ep,1,0
5,32,ft,0,1
5,32,cg,0,1
5,32,ep,0,1
6,32,ft,1,0
6,32,cg,1,0
6,32,ep,1,0
7,32,ft,0,1
7,32,cg,0,1
7,32,ep,0,1
8,32,ft,1,0
8,32,cg,1,0
8,32,ep,1,0
9,32,ft,0,1
9,32,cg,0,1
9,32,ep,0,1
10,32,ft,1,0
10,32,cg,1,0
10,32,ep,1,0
