Linux 6.4.0-150600.23.25-default (cm4r15c03s05) 	04/12/26 	_x86_64_	(224 CPU)

21:26:53      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:26:58        0        17         -    0.00    0.19    0.00    0.00    0.19     4  rcu_preempt
21:26:58        0         -        17    0.00    0.19    0.00    0.00    0.19     4  |__rcu_preempt
21:26:58        0        72         -    0.00    0.19    0.00    0.00    0.19     9  ksoftirqd/9
21:26:58        0         -        78    0.00    0.19    0.00    0.00    0.19    10  |__ksoftirqd/10
21:26:58        0       222         -    0.00    0.19    0.00    0.00    0.19    34  ksoftirqd/34
21:26:58        0       565         -    0.00    0.19    0.00    0.00    0.19    91  migration/91
21:26:58        0         -       565    0.00    0.19    0.00    0.00    0.19    91  |__migration/91
21:26:58        0       752         -    0.00    0.19    0.00    0.00    0.19   122  ksoftirqd/122
21:26:58      499      3634         -    0.19    0.19    0.00    0.00    0.39     0  dbus-daemon
21:26:58      499         -      3634    0.19    0.19    0.00    0.00    0.39     0  |__dbus-daemon
21:26:58        0     10113         -    0.00    0.19    0.00    0.00    0.19   203  mmsysmon.py
21:26:58        0     11966         -    1.36    1.36    0.00    0.00    2.73   172  mmfsd
21:26:58        0         -     13121    0.00    0.19    0.00    0.00    0.19    33  |__mmfsd
21:26:58        0         -     13636    0.00    0.19    0.00    0.00    0.19   140  |__mmfsd
21:26:58        0         -     13699    0.19    0.00    0.00    0.00    0.19   144  |__mmfsd
21:26:58        0         -     14082    0.19    0.19    0.00    0.19    0.39    34  |__mmfsd
21:26:58        0         -     14083    0.19    0.39    0.00    0.00    0.58   117  |__mmfsd
21:26:58        0         -     37425    0.58    0.19    0.00    0.00    0.78   184  |__mmfsd
21:26:58        0         -     59534    0.19    0.00    0.00    0.00    0.19   165  |__mmfsd
21:26:58        0         -     25255    0.00    0.19    0.00    0.00    0.19   221  |__kworker/221:1-events
21:26:58        0         -     26881    0.00    0.19    0.00    0.00    0.19   208  |__kworker/208:0-events
21:26:58        0         -    122783    0.00    0.19    0.00    0.00    0.19    66  |__kworker/66:2-mm_percpu_wq
21:26:58        0    122818         -    0.00    0.19    0.00    0.19    0.19   160  kworker/160:0-events
21:26:58        0         -    148274    0.00    0.19    0.00    0.00    0.19     8  |__kworker/8:2-events
21:26:58        0    149423         -    0.19    0.00    0.00    0.00    0.19    30  kworker/30:1-events
21:26:58        0         -    149423    0.19    0.00    0.00    0.00    0.19    30  |__kworker/30:1-events
21:26:58        0    152586         -    0.19    0.00    0.00    0.00    0.19    14  kworker/14:2-events
21:26:58        0         -    152586    0.19    0.00    0.00    0.00    0.19    14  |__kworker/14:2-events
21:26:58        0    160411         -    0.00    0.19    0.00    0.00    0.19   199  kworker/199:2-events
21:26:58        0         -    164175    0.00    0.19    0.00    0.39    0.19     9  |__kworker/9:0-events
21:26:58        0    192289         -    0.00    0.19    0.00    0.00    0.19     0  kworker/0:3-events
21:26:58        0         -    192289    0.00    0.19    0.00    0.00    0.19     0  |__kworker/0:3-events
21:26:58    4432689    192635         -    0.00    0.39    0.00    0.00    0.39   184  mpstat
21:26:58    4432689         -    192635    0.00    0.39    0.00    0.00    0.39   184  |__mpstat
21:26:58    4432689    192636         -    0.78    1.95    0.00    0.00    2.73   121  pidstat
21:26:58    4432689         -    192636    0.78    1.95    0.00    0.00    2.73   121  |__pidstat
21:26:58        0         -    192646    0.00    0.19    0.00    0.00    0.19     2  |__slurmstepd
21:26:58    4432689    192653         -    0.00    0.39    0.00    0.00    0.39     2  test_all.sh
21:26:58    4432689         -    192653    0.00    0.39    0.00    0.00    0.39     2  |__test_all.sh
21:26:58    4432689    192862         -    0.00    0.19    0.00    0.00    0.19    15  test-one.sh
21:26:58    4432689         -    192862    0.00    0.19    0.00    0.00    0.19    15  |__test-one.sh
21:26:58    4432689    192863         -    0.00    0.19    0.00    0.00    0.19     2  test-one.sh
21:26:58    4432689         -    192863    0.00    0.19    0.00    0.00    0.19     2  |__test-one.sh
21:26:58    4432689    192864         -    0.19    0.00    0.00    0.00    0.19    65  test-one.sh
21:26:58    4432689         -    192864    0.19    0.00    0.00    0.00    0.19    65  |__test-one.sh
21:26:58    4432689    192865         -    0.00    0.19    0.00    0.00    0.19    56  test-one.sh
