arm,repeat,job_id,label,algorithm,threads,iteration,start_offset,window_seconds,start_epoch_ms,start_since_arm_ms,wall_ms,time_seconds,mops_total,total_threads,avail_threads,overran_window,pid,exit_code
drm,1,1,J01_ft,ft,32,1,0.0,48.123,1788485109385,3,4683,4.24,93434.76,32,32,false,75644,0
drm,1,1,J01_ft,ft,32,2,0.0,48.123,1788485114570,5188,10083,9.31,42569.87,10,32,false,75678,0
drm,1,1,J01_ft,ft,32,3,0.0,48.123,1788485125155,15772,26161,23.91,16580.68,8,32,false,75820,0
drm,1,1,J01_ft,ft,32,4,0.0,48.123,1788485151817,42435,24865,21.42,18502.09,8,32,true,76044,0
drm,1,2,J02_ep,ep,32,1,8.999,77.355,1788485118382,8999,19352,19.21,447.16,10,32,false,75719,0
drm,1,2,J02_ep,ep,32,2,8.999,77.355,1788485138235,28853,51307,51.19,167.8,5,32,false,75921,0
drm,1,2,J02_ep,ep,32,3,8.999,77.355,1788485190043,80661,17294,17.18,499.86,8,32,true,76228,0
drm,1,3,J03_ft,ft,32,1,13.099,54.571,1788485122482,13099,21806,19.87,19952.19,8,32,false,75752,0
drm,1,3,J03_ft,ft,32,2,13.099,54.571,1788485144789,35407,21854,18.62,21285.16,8,32,false,75956,0
drm,1,3,J03_ft,ft,32,3,13.099,54.571,1788485167145,57762,18300,15.83,25039.45,10,32,true,76112,0
drm,1,4,J04_cg,cg,32,1,13.773,47.096,1788485123156,13773,23206,21.46,6681.28,6,32,false,75785,0
drm,1,4,J04_cg,cg,32,2,13.773,47.096,1788485146863,37481,20850,18.39,7796.93,6,32,false,75991,0
drm,1,4,J04_cg,cg,32,3,13.773,47.096,1788485168214,58832,20248,17.97,7975.11,10,32,true,76145,0
drm,1,5,J05_cg,cg,32,1,19.698,87.101,1788485129081,19698,29012,26.55,5399.37,8,32,false,75853,0
drm,1,5,J05_cg,cg,32,2,19.698,87.101,1788485158595,49212,20799,18.88,7593.83,8,32,false,76079,0
drm,1,5,J05_cg,cg,32,3,19.698,87.101,1788485179895,70513,17193,15.69,9137.83,32,32,false,76192,0
drm,1,5,J05_cg,cg,32,4,19.698,87.101,1788485197590,88207,11034,10.07,14236.28,16,32,false,76263,0
drm,1,5,J05_cg,cg,32,5,19.698,87.101,1788485209125,99742,5675,4.94,29038.46,32,32,false,76318,0
drm,1,5,J05_cg,cg,32,6,19.698,87.101,1788485215301,105919,4323,3.79,37777.28,32,32,true,76354,0
drm,1,6,J06_ep,ep,32,1,21.026,44.272,1788485130409,21026,48252,48.1,178.59,6,32,true,75886,0
nodrm,1,1,J01_ft,ft,32,1,0.0,48.123,1788485229637,5,4578,4.24,93516.65,32,32,false,76395,0
nodrm,1,1,J01_ft,ft,32,2,0.0,48.123,1788485234715,5083,5576,5.21,76138.76,32,32,false,76428,0
nodrm,1,1,J01_ft,ft,32,3,0.0,48.123,1788485240792,11160,24257,23.45,16904.96,32,32,false,76500,0
nodrm,1,1,J01_ft,ft,32,4,0.0,48.123,1788485265550,35918,27611,25.74,15402.07,32,32,true,76696,0
nodrm,1,2,J02_ep,ep,32,1,8.999,77.355,1788485238631,8999,9736,9.55,899.39,32,32,false,76468,0
nodrm,1,2,J02_ep,ep,32,2,8.999,77.355,1788485248868,19236,25107,24.95,344.26,32,32,false,76598,0
nodrm,1,2,J02_ep,ep,32,3,8.999,77.355,1788485274476,44844,22402,22.18,387.31,32,32,false,76817,0
nodrm,1,2,J02_ep,ep,32,4,8.999,77.355,1788485297379,67747,17896,17.74,484.32,32,32,false,76886,0
