Linux 6.4.0-150600.23.25-default (cm4r13c06s01) 	06/01/26 	_x86_64_	(224 CPU)

11:49:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:49:58     all   22.40    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   77.24
11:49:58       0    0.00    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.79
11:49:58       1   78.92    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   20.08
11:49:58       2   78.56    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   20.44
11:49:58       3   78.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.60
11:49:58       4   78.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.60
11:49:58       5   78.24    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.56
11:49:58       6   78.56    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   20.44
11:49:58       7   77.84    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   20.56
11:49:58       8   78.60    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   20.60
11:49:58       9   78.16    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   20.44
11:49:58      10   78.24    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.56
11:49:58      11   78.24    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.56
11:49:58      12   78.56    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   20.64
11:49:58      13   78.40    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.40
11:49:58      14   78.16    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   20.44
11:49:58      15   78.24    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.56
11:49:58      16   78.24    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.56
11:49:58      17   78.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.60
11:49:58      18   78.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.60
11:49:58      19   78.60    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.20
11:49:58      20   78.60    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   20.60
11:49:58      21   78.36    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.44
11:49:58      22   78.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.60
11:49:58      23   78.56    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   20.64
11:49:58      24   78.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   20.60
