Linux 6.4.0-150600.23.25-default (cm4r15c01s07) 	06/01/26 	_x86_64_	(224 CPU)

13:44:38      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:44:43        0        17         -    0.00    0.19    0.00    0.00    0.19    33  rcu_preempt
13:44:43        0         -        17    0.00    0.19    0.00    0.00    0.19    33  |__rcu_preempt
13:44:43      499      3624         -    0.19    0.00    0.00    0.00    0.19     3  dbus-daemon
13:44:43      499         -      3624    0.19    0.00    0.00    0.00    0.19     3  |__dbus-daemon
13:44:43        0         -      3741    0.19    0.00    0.00    0.00    0.19   163  |__systemd-logind
13:44:43        0     11885         -    0.00    0.19    0.00    0.00    0.19   220  mmccrmonitor
13:44:43        0         -     11885    0.00    0.19    0.00    0.00    0.19   220  |__mmccrmonitor
13:44:43        0     14561         -    0.97    0.97    0.00    0.00    1.94   106  mmfsd
13:44:43        0         -     15273    0.00    0.19    0.00    0.00    0.19    48  |__mmfsd
13:44:43        0         -     16048    0.00    0.19    0.00    0.00    0.19    57  |__mmfsd
13:44:43        0         -     16076    0.19    0.00    0.00    0.00    0.19   162  |__mmfsd
13:44:43        0         -     16266    0.00    0.19    0.00    0.00    0.19    48  |__mmfsd
13:44:43        0         -     16287    0.00    0.19    0.00    0.00    0.19    54  |__mmfsd
13:44:43        0         -     18713    0.19    0.00    0.00    0.00    0.19   210  |__mmfsd
13:44:43        0         -    156140    0.19    0.00    0.00    0.00    0.19    44  |__mmfsd
13:44:43        0         -    197506    0.00    0.19    0.00    0.00    0.19   221  |__mmfsd
13:44:43        0         -    216829    0.00    0.19    0.00    0.00    0.19    54  |__mmfsd
13:44:43        0         -    227176    0.19    0.00    0.00    0.00    0.19    50  |__mmfsd
13:44:43        0         -     16654    0.00    0.19    0.00    0.00    0.19    81  |__kworker/81:0-events
13:44:43        0     21876         -    0.19    0.00    0.00    0.00    0.19    21  kworker/21:1-events
13:44:43        0         -     21876    0.19    0.00    0.00    0.00    0.19    21  |__kworker/21:1-events
13:44:43        0     25779         -    0.19    0.00    0.00    0.00    0.19     0  kworker/0:2-events
13:44:43        0         -     25779    0.19    0.00    0.00    0.00    0.19     0  |__kworker/0:2-events
13:44:43        0     34629         -    0.19    0.00    0.00    0.00    0.19     2  kworker/2:1-events
13:44:43        0         -     34629    0.19    0.00    0.00    0.00    0.19     2  |__kworker/2:1-events
13:44:43        0     36176         -    0.19    0.00    0.00    0.00    0.19    28  kworker/28:2-events
13:44:43        0         -     36176    0.19    0.00    0.00    0.00    0.19    28  |__kworker/28:2-events
13:44:43    4432689     36761         -    0.00    0.19    0.00    0.00    0.19   120  mpstat
13:44:43    4432689         -     36761    0.00    0.19    0.00    0.00    0.19   120  |__mpstat
13:44:43    4432689     36762         -    0.58    3.11    0.00    0.00    3.69   122  pidstat
13:44:43    4432689         -     36762    0.58    3.11    0.00    0.00    3.69   122  |__pidstat
13:44:43        0     36772         -    0.19    0.19    0.00    0.00    0.39     4  slurmstepd
13:44:43        0         -     36772    0.39    0.19    0.00    0.00    0.58     4  |__slurmstepd
13:44:43    4432689     36779         -    0.00    0.19    0.00    0.00    0.19   118  test_staggered.
13:44:43    4432689         -     36779    0.00    0.19    0.00    0.00    0.19   118  |__test_staggered.
13:44:43    4432689     36799         -    0.00    0.19    0.00    0.00    0.19     0  dynamic-resourc
13:44:43    4432689     36811         - 2595.92   37.09    0.00    0.00 2633.01    32  ft.C.x
13:44:43    4432689         -     36811   81.75    1.17    0.00    0.00   82.91    32  |__ft.C.x
13:44:43    4432689         -     36814   80.97    1.17    0.00    0.00   82.14     2  |__openmp_worker
13:44:43    4432689         -     36816   81.36    0.78    0.00    0.00   82.14     3  |__openmp_worker
13:44:43    4432689         -     36818   81.17    0.97    0.00    0.00   82.14     5  |__openmp_worker
13:44:43    4432689         -     36819   81.17    0.78    0.00    0.00   81.94     8  |__openmp_worker
13:44:43    4432689         -     36821   80.97    1.17    0.00    0.00   82.14    14  |__openmp_worker
13:44:43    4432689         -     36823   80.97    1.17    0.00    0.00   82.14    11  |__openmp_worker
13:44:43    4432689         -     36824   81.17    0.97    0.00    0.00   82.14     4  |__openmp_worker
13:44:43    4432689         -     36826   80.97    0.97    0.00    0.00   81.94    15  |__openmp_worker
