# label=B1 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780317307388  4275  3.74
2  1780317311667  4292  3.78
3  1780317315963  10908  10.39
4  1780317326881  14163  12.88
5  1780317341048  13421  12.21
6  1780317354473  13005  11.77
7  1780317367487  13527  12.27
8  1780317381025  13444  12.19
9  1780317394479  13281  12.00
10  1780317407769  14338  13.08
11  1780317422116  13861  12.63
12  1780317435981  13639  12.30
13  1780317449630  14051  12.75
14  1780317463689  13512  12.19
15  1780317477209  14145  12.83
