# label=A2 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782676822731  4470  4.37
2  1782676827712  7276  7.20
3  1782676835499  7369  7.30
4  1782676843378  7253  7.17
5  1782676851141  3652  3.60
6  1782676855300  9658  9.56
7  1782676865465  7167  7.10
8  1782676873141  3653  3.60
9  1782676877305  7219  7.18
10  1782676885035  3659  3.60
11  1782676889205  9485  9.43
12  1782676899201  7240  7.20
13  1782676906952  3769  3.71
14  1782676911232  9649  9.60
15  1782676921391  7172  7.13
