# label=A2 dyn=true t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782676443740  10174  9.13
2  1782676454426  12640  11.72
3  1782676467577  10818  9.79
4  1782676478906  10988  9.85
5  1782676490405  12325  11.34
6  1782676503240  11603  10.61
7  1782676515354  10986  10.11
8  1782676526852  10719  9.78
9  1782676538081  10921  9.90
10  1782676549512  10607  9.56
11  1782676560630  9478  8.60
12  1782676570619  10348  9.36
13  1782676581478  10301  9.35
14  1782676592290  10481  9.43
15  1782676603281  10188  9.20
