# label=A1 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485301718  4090  3.59
2  1788485306315  4142  3.66
3  1788485310964  8434  7.94
4  1788485319906  9117  7.94
5  1788485329530  9034  7.70
6  1788485339071  9794  8.51
7  1788485349378  10077  8.76
8  1788485359967  8698  7.40
9  1788485369177  9206  7.99
10  1788485378895  8599  7.43
11  1788485388005  8366  7.10
12  1788485396884  8361  7.16
13  1788485405757  9223  8.74
14  1788485415491  9755  8.36
15  1788485425759  9783  8.47
