# label=B2 dyn=false t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485500127  7074  6.96
2  1788485507712  6990  6.85
3  1788485515211  6970  6.88
4  1788485522690  7032  6.93
5  1788485530229  7018  6.86
6  1788485537752  6923  6.81
7  1788485545184  6984  6.89
8  1788485552678  6817  6.74
9  1788485560007  7172  7.03
10  1788485567691  7218  7.09
11  1788485575417  7023  6.92
12  1788485582949  7037  6.91
13  1788485590497  6809  6.73
14  1788485597814  6890  6.83
15  1788485605210  3645  3.61
