# label=B2 dyn=false t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485119730  10360  10.00
2  1788485130602  10710  10.11
3  1788485141823  10251  9.91
4  1788485152584  10543  9.77
5  1788485163636  10669  9.85
6  1788485174814  10283  9.54
7  1788485185609  10705  9.89
8  1788485196827  11036  10.25
9  1788485208375  10473  9.78
10  1788485219360  10253  9.60
11  1788485230126  10114  9.45
12  1788485240752  10442  9.56
13  1788485251705  10410  9.68
14  1788485262629  4992  4.26
15  1788485268128  4577  4.25
