run_name,benchmark,threads,dynamic,program_id,cpus,drm,wall_ms,time_seconds,total_threads,avail_threads,pid,exit_code
run_1,omp,2,true,1,"0,1",true,4039,4.02,2,2,200857,0
run_1,omp,2,true,2,"0,1",true,4035,4.01,2,2,200858,0
run_1,omp,2,false,1,"0,1",true,4040,4.01,2,2,200865,0
run_1,omp,2,false,2,"0,1",true,4055,4.04,2,2,200866,0
run_2,omp,2,true,1,"0,1",true,4039,4.02,2,2,200875,0
run_2,omp,2,true,2,"0,1",true,4035,4.02,2,2,200876,0
run_2,omp,2,false,1,"0,1",true,4061,4.03,2,2,200952,0
run_2,omp,2,false,2,"0,1",true,4075,4.05,2,2,200953,0
run_3,omp,2,true,1,"0,1",true,4039,4.02,2,2,200962,0
run_3,omp,2,true,2,"0,1",true,4075,4.05,2,2,200963,0
run_3,omp,2,false,1,"0,1",true,4020,4.01,2,2,200970,0
run_3,omp,2,false,2,"0,1",true,4075,4.05,2,2,200971,0
run_1,omp,4,true,1,"0,1,2,3",true,4035,4.01,4,4,200995,0
run_1,omp,4,true,2,"0,1,2,3",true,4054,4.04,4,4,201000,0
run_1,omp,4,false,1,"0,1,2,3",true,4060,4.04,4,4,201010,0
run_1,omp,4,false,2,"0,1,2,3",true,4115,4.09,4,4,201011,0
run_2,omp,4,true,1,"0,1,2,3",true,4040,4.03,4,4,201021,0
run_2,omp,4,true,2,"0,1,2,3",true,4095,4.06,4,4,201022,0
run_2,omp,4,false,1,"0,1,2,3",true,4040,4.01,4,4,201046,0
run_2,omp,4,false,2,"0,1,2,3",true,4095,4.07,4,4,201047,0
run_3,omp,4,true,1,"0,1,2,3",true,4040,4.02,4,4,201057,0
run_3,omp,4,true,2,"0,1,2,3",true,4095,4.06,4,4,201058,0
run_3,omp,4,false,1,"0,1,2,3",true,4040,4.02,4,4,201067,0
run_3,omp,4,false,2,"0,1,2,3",true,4075,4.04,4,4,201068,0
run_1,omp,8,true,1,"0,1,2,3,4,5,6,7",true,4059,4.04,8,8,201079,0
run_1,omp,8,true,2,"0,1,2,3,4,5,6,7",true,4075,4.05,8,8,201080,0
run_1,omp,8,false,1,"0,1,2,3,4,5,6,7",true,4060,4.04,8,8,201119,0
run_1,omp,8,false,2,"0,1,2,3,4,5,6,7",true,4135,4.1,8,8,201120,0
run_2,omp,8,true,1,"0,1,2,3,4,5,6,7",true,4060,4.04,8,8,201139,0
run_2,omp,8,true,2,"0,1,2,3,4,5,6,7",true,4155,4.12,8,8,201140,0
run_2,omp,8,false,1,"0,1,2,3,4,5,6,7",true,4061,4.04,8,8,201161,0
run_2,omp,8,false,2,"0,1,2,3,4,5,6,7",true,4155,4.12,8,8,201162,0
run_3,omp,8,true,1,"0,1,2,3,4,5,6,7",true,4059,4.04,8,8,201186,0
run_3,omp,8,true,2,"0,1,2,3,4,5,6,7",true,4075,4.06,8,8,201187,0
run_3,omp,8,false,1,"0,1,2,3,4,5,6,7",true,4060,4.05,8,8,201211,0
run_3,omp,8,false,2,"0,1,2,3,4,5,6,7",true,4175,4.14,8,8,201212,0
run_1,omp,16,true,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4100,4.09,16,16,201231,0
run_1,omp,16,true,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4075,4.06,16,16,201232,0
run_1,omp,16,false,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4080,4.06,16,16,201284,0
run_1,omp,16,false,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4216,4.19,16,16,201285,0
run_2,omp,16,true,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4100,4.07,16,16,201319,0
run_2,omp,16,true,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4155,4.13,16,16,201320,0
run_2,omp,16,false,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4099,4.07,16,16,201361,0
run_2,omp,16,false,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4075,4.05,16,16,201362,0
run_3,omp,16,true,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4069,4.05,16,16,201407,0
run_3,omp,16,true,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4175,4.16,16,16,201424,0
run_3,omp,16,false,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4079,4.05,16,16,201446,0
run_3,omp,16,false,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",true,4095,4.07,16,16,201447,0
run_1,omp,32,true,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",true,4120,4.1,32,32,201480,0
run_1,omp,32,true,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",true,4176,4.15,32,32,201481,0
run_1,omp,32,false,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",true,4080,4.05,32,32,201549,0
run_1,omp,32,false,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",true,4136,4.11,32,32,201550,0
run_2,omp,32,true,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",true,4101,4.08,32,32,201630,0
