run_name,source,benchmark,threads,dynamic,program_id,duration_ms,mops_total,init_ms,mops_per_thread,total_threads,avail_threads,operation_type,pid,mode,rep
run_1,dual,CG,2,False,1,93760,1528.87,12665,764.44,2,2,floating point,5862,dynamic=false,1
run_1,dual,CG,2,False,2,94220,1521.46,11861,760.73,2,2,floating point,5861,dynamic=false,2
run_1,dual,CG,4,False,1,53910,2658.8,6482,664.7,4,4,floating point,21354,dynamic=false,1
run_1,dual,CG,4,False,2,52210,2745.4,6488,686.35,4,4,floating point,21355,dynamic=false,2
run_1,dual,CG,8,False,1,30900,4638.81,3444,579.85,8,8,floating point,26615,dynamic=false,1
run_1,dual,CG,8,False,2,31310,4577.84,3340,572.23,8,8,floating point,26614,dynamic=false,2
run_1,dual,CG,16,False,1,17750,8076.36,2000,504.77,16,16,floating point,30904,dynamic=false,1
run_1,dual,CG,16,False,2,18130,7907.01,2004,494.19,16,16,floating point,30903,dynamic=false,2
run_1,dual,CG,32,False,1,12610,11363.36,1166,355.1,32,32,floating point,43175,dynamic=false,1
run_1,dual,CG,32,False,2,12470,11494.33,1161,359.2,32,32,floating point,43174,dynamic=false,2
run_1,dual,CG,2,True,1,84730,1691.76,13402,1691.76,1,2,floating point,5855,dynamic=true,1
run_1,dual,CG,2,True,2,92820,1544.35,11942,772.18,2,2,floating point,5856,dynamic=true,2
run_1,dual,CG,4,True,1,46160,3105.38,6161,1552.69,2,4,floating point,21356,dynamic=true,1
run_1,dual,CG,4,True,2,47020,3048.43,6895,1524.22,2,4,floating point,21357,dynamic=true,2
run_1,dual,CG,8,True,1,21820,6569.03,3548,1642.26,4,8,floating point,26616,dynamic=true,1
run_1,dual,CG,8,True,2,21850,6561.88,3289,1640.47,4,8,floating point,26617,dynamic=true,2
run_1,dual,CG,16,True,1,11610,12345.46,2097,1543.18,8,16,floating point,30906,dynamic=true,1
run_1,dual,CG,16,True,2,11490,12471.87,1990,1558.98,8,16,floating point,30905,dynamic=true,2
run_1,dual,CG,32,True,1,6840,20964.98,1334,1310.31,16,32,floating point,43172,dynamic=true,1
run_1,dual,CG,32,True,2,7780,18424.76,1410,1151.55,16,32,floating point,43173,dynamic=true,2
run_10,dual,CG,2,False,1,93140,1539.02,12169,769.51,2,2,floating point,20686,dynamic=false,1
run_10,dual,CG,2,False,2,93650,1530.64,12165,765.32,2,2,floating point,20685,dynamic=false,2
run_10,dual,CG,4,False,1,50530,2836.86,6734,709.21,4,4,floating point,26099,dynamic=false,1
run_10,dual,CG,4,False,2,51090,2805.66,6210,701.41,4,4,floating point,26097,dynamic=false,2
run_10,dual,CG,8,False,1,29240,4902.0,3499,612.75,8,8,floating point,30442,dynamic=false,1
run_10,dual,CG,8,False,2,29060,4932.81,3444,616.6,8,8,floating point,30439,dynamic=false,2
run_10,dual,CG,16,False,1,16980,8443.45,1843,527.72,16,16,floating point,42586,dynamic=false,1
run_10,dual,CG,16,False,2,16540,8665.4,1873,541.59,16,16,floating point,42589,dynamic=false,2
run_10,dual,CG,32,False,1,12370,11590.57,1297,362.21,32,32,floating point,48650,dynamic=false,1
run_10,dual,CG,32,False,2,12460,11505.3,1207,359.54,32,32,floating point,48647,dynamic=false,2
run_10,dual,CG,2,True,1,85780,1671.1,12026,1671.1,1,2,floating point,20687,dynamic=true,1
run_10,dual,CG,2,True,2,85650,1673.7,13089,1673.7,1,2,floating point,20688,dynamic=true,2
run_10,dual,CG,4,True,1,48900,2931.57,6369,1465.79,2,4,floating point,26096,dynamic=true,1
run_10,dual,CG,4,True,2,44860,3195.31,6655,1597.66,2,4,floating point,26098,dynamic=true,2
run_10,dual,CG,8,True,1,24520,5846.58,3615,1461.64,4,8,floating point,30441,dynamic=true,1
