run_name,source,benchmark,threads,dynamic,program_id,duration_ms,mops_total,init_ms,mops_per_thread,total_threads,avail_threads,operation_type,pid,mode,rep
run_1,dual,EP,2,False,1,55620,154.45,,77.22,2,2,Random numbers generated,6175,dynamic=false,1
run_1,dual,EP,2,False,2,56570,151.84,,75.92,2,2,Random numbers generated,6174,dynamic=false,2
run_1,dual,EP,4,False,1,28430,302.13,,75.53,4,4,Random numbers generated,21589,dynamic=false,1
run_1,dual,EP,4,False,2,28070,306.04,,76.51,4,4,Random numbers generated,21588,dynamic=false,2
run_1,dual,EP,8,False,1,14120,608.21,,76.03,8,8,Random numbers generated,26709,dynamic=false,1
run_1,dual,EP,8,False,2,14470,593.79,,74.22,8,8,Random numbers generated,26707,dynamic=false,2
run_1,dual,EP,16,False,1,9830,873.98,,54.62,16,16,Random numbers generated,34738,dynamic=false,1
run_1,dual,EP,16,False,2,7670,1120.5,,70.03,16,16,Random numbers generated,34740,dynamic=false,2
run_1,dual,EP,32,False,1,3710,2317.96,,72.44,32,32,Random numbers generated,43348,dynamic=false,1
run_1,dual,EP,32,False,2,3830,2243.2,,70.1,32,32,Random numbers generated,43350,dynamic=false,2
run_1,dual,EP,2,True,1,46770,183.68,,91.84,2,2,Random numbers generated,6172,dynamic=true,1
run_1,dual,EP,2,True,2,65650,130.84,,130.84,1,2,Random numbers generated,6173,dynamic=true,2
run_1,dual,EP,4,True,1,23310,368.48,,92.12,4,4,Random numbers generated,21587,dynamic=true,1
run_1,dual,EP,4,True,2,34970,245.61,,122.81,2,4,Random numbers generated,21586,dynamic=true,2
run_1,dual,EP,8,True,1,18820,456.47,,114.12,4,8,Random numbers generated,26708,dynamic=true,1
run_1,dual,EP,8,True,2,11620,739.39,,92.42,8,8,Random numbers generated,26706,dynamic=true,2
run_1,dual,EP,16,True,1,9800,876.55,,109.57,8,16,Random numbers generated,34739,dynamic=true,1
run_1,dual,EP,16,True,2,6030,1425.01,,89.06,16,16,Random numbers generated,34736,dynamic=true,2
run_1,dual,EP,32,True,1,4940,1738.28,,108.64,16,32,Random numbers generated,43351,dynamic=true,1
run_1,dual,EP,32,True,2,3220,2671.13,,83.47,32,32,Random numbers generated,43349,dynamic=true,2
run_10,dual,EP,2,False,1,56110,153.1,,76.55,2,2,Random numbers generated,21002,dynamic=false,1
run_10,dual,EP,2,False,2,56130,153.03,,76.51,2,2,Random numbers generated,21003,dynamic=false,2
run_10,dual,EP,4,False,1,28290,303.66,,75.91,4,4,Random numbers generated,26253,dynamic=false,1
run_10,dual,EP,4,False,2,28330,303.24,,75.81,4,4,Random numbers generated,26247,dynamic=false,2
run_10,dual,EP,8,False,1,14210,604.7,,75.59,8,8,Random numbers generated,30531,dynamic=false,1
run_10,dual,EP,8,False,2,14350,598.77,,74.85,8,8,Random numbers generated,30530,dynamic=false,2
run_10,dual,EP,16,False,1,7210,1190.63,,74.41,16,16,Random numbers generated,42806,dynamic=false,1
run_10,dual,EP,16,False,2,7210,1190.85,,74.43,16,16,Random numbers generated,42807,dynamic=false,2
run_10,dual,EP,32,False,1,3660,2343.81,,73.24,32,32,Random numbers generated,48826,dynamic=false,1
run_10,dual,EP,32,False,2,3660,2349.27,,73.41,32,32,Random numbers generated,48827,dynamic=false,2
