run_name,source,benchmark,threads,dynamic,program_id,duration_ms,mops_total,init_ms,mops_per_thread,total_threads,avail_threads,operation_type,pid,mode,rep
run_1,dual,FT,2,False,1,107980,3670.81,,1835.41,2,2,floating point,5590,dynamic=false,1
run_1,dual,FT,2,False,2,107860,3674.96,,1837.48,2,2,floating point,5591,dynamic=false,2
run_1,dual,FT,4,False,1,57230,6926.58,,1731.65,4,4,floating point,21254,dynamic=false,1
run_1,dual,FT,4,False,2,57740,6864.74,,1716.18,4,4,floating point,21256,dynamic=false,2
run_1,dual,FT,8,False,1,30360,13057.78,,1632.22,8,8,floating point,26502,dynamic=false,1
run_1,dual,FT,8,False,2,30360,13055.29,,1631.91,8,8,floating point,26501,dynamic=false,2
run_1,dual,FT,16,False,1,16980,23347.28,,1459.21,16,16,floating point,30780,dynamic=false,1
run_1,dual,FT,16,False,2,17080,23206.62,,1450.41,16,16,floating point,30786,dynamic=false,2
run_1,dual,FT,32,False,1,9660,41018.88,,1281.84,32,32,floating point,42982,dynamic=false,1
run_1,dual,FT,32,False,2,9620,41211.77,,1287.87,32,32,floating point,42981,dynamic=false,2
run_1,dual,FT,2,True,1,104010,3811.01,,3811.01,1,2,floating point,5589,dynamic=true,1
run_1,dual,FT,2,True,2,104400,3797.0,,3797.0,1,2,floating point,5588,dynamic=true,2
run_1,dual,FT,4,True,1,52050,7615.57,,3807.78,2,4,floating point,21255,dynamic=true,1
run_1,dual,FT,4,True,2,52340,7573.88,,3786.94,2,4,floating point,21253,dynamic=true,2
run_1,dual,FT,8,True,1,26680,14854.47,,3713.62,4,8,floating point,26504,dynamic=true,1
run_1,dual,FT,8,True,2,26240,15108.25,,3777.06,4,8,floating point,26503,dynamic=true,2
run_1,dual,FT,16,True,1,13690,28960.68,,3620.08,8,16,floating point,30784,dynamic=true,1
run_1,dual,FT,16,True,2,13760,28816.08,,3602.01,8,16,floating point,30785,dynamic=true,2
run_1,dual,FT,32,True,1,7760,51075.17,,3192.2,16,32,floating point,42980,dynamic=true,1
run_1,dual,FT,32,True,2,7560,52436.84,,3277.3,16,32,floating point,42979,dynamic=true,2
run_10,dual,FT,2,False,1,108070,3667.95,,1833.98,2,2,floating point,20428,dynamic=false,1
run_10,dual,FT,2,False,2,107610,3683.7,,1841.85,2,2,floating point,20427,dynamic=false,2
run_10,dual,FT,4,False,1,56900,6966.71,,1741.68,4,4,floating point,25865,dynamic=false,1
run_10,dual,FT,4,False,2,56600,7003.64,,1750.91,4,4,floating point,25867,dynamic=false,2
run_10,dual,FT,8,False,1,29670,13360.35,,1670.04,8,8,floating point,30340,dynamic=false,1
run_10,dual,FT,8,False,2,29610,13389.04,,1673.63,8,8,floating point,30339,dynamic=false,2
run_10,dual,FT,16,False,1,16000,24781.32,,1548.83,16,16,floating point,42458,dynamic=false,1
run_10,dual,FT,16,False,2,15820,25057.02,,1566.06,16,16,floating point,42455,dynamic=false,2
run_10,dual,FT,32,False,1,9300,42631.6,,1332.24,32,32,floating point,48463,dynamic=false,1
run_10,dual,FT,32,False,2,9300,42630.61,,1332.21,32,32,floating point,48466,dynamic=false,2
run_10,dual,FT,2,True,1,104950,3777.09,,3777.09,1,2,floating point,20426,dynamic=true,1
run_10,dual,FT,2,True,2,104550,3791.52,,3791.52,1,2,floating point,20429,dynamic=true,2
run_10,dual,FT,4,True,1,53730,7377.01,,3688.51,2,4,floating point,25864,dynamic=true,1
run_10,dual,FT,4,True,2,51980,7625.3,,3812.65,2,4,floating point,25866,dynamic=true,2
run_10,dual,FT,8,True,1,26960,14704.99,,3676.25,4,8,floating point,30341,dynamic=true,1
run_10,dual,FT,8,True,2,26750,14818.36,,3704.59,4,8,floating point,30338,dynamic=true,2
