run_name,source,benchmark,threads,dynamic,program_id,duration_ms,mops_total,init_ms,mops_per_thread,total_threads,avail_threads,operation_type,pid,mode,rep
run_1,dual,CG,2,False,1,93760,1528.87,12665,764.44,2,2,floating point,5862,dynamic=false,1
run_1,dual,CG,2,False,2,94220,1521.46,11861,760.73,2,2,floating point,5861,dynamic=false,2
run_1,dual,CG,4,False,1,53910,2658.8,6482,664.7,4,4,floating point,21354,dynamic=false,1
run_1,dual,CG,4,False,2,52210,2745.4,6488,686.35,4,4,floating point,21355,dynamic=false,2
run_1,dual,CG,8,False,1,30900,4638.81,3444,579.85,8,8,floating point,26615,dynamic=false,1
run_1,dual,CG,8,False,2,31310,4577.84,3340,572.23,8,8,floating point,26614,dynamic=false,2
run_1,dual,CG,16,False,1,17750,8076.36,2000,504.77,16,16,floating point,30904,dynamic=false,1
run_1,dual,CG,16,False,2,18130,7907.01,2004,494.19,16,16,floating point,30903,dynamic=false,2
run_1,dual,CG,32,False,1,12610,11363.36,1166,355.1,32,32,floating point,43175,dynamic=false,1
run_1,dual,CG,32,False,2,12470,11494.33,1161,359.2,32,32,floating point,43174,dynamic=false,2
run_1,dual,CG,2,True,1,84730,1691.76,13402,1691.76,1,2,floating point,5855,dynamic=true,1
run_1,dual,CG,2,True,2,92820,1544.35,11942,772.18,2,2,floating point,5856,dynamic=true,2
run_1,dual,CG,4,True,1,46160,3105.38,6161,1552.69,2,4,floating point,21356,dynamic=true,1
run_1,dual,CG,4,True,2,47020,3048.43,6895,1524.22,2,4,floating point,21357,dynamic=true,2
run_1,dual,CG,8,True,1,21820,6569.03,3548,1642.26,4,8,floating point,26616,dynamic=true,1
run_1,dual,CG,8,True,2,21850,6561.88,3289,1640.47,4,8,floating point,26617,dynamic=true,2
run_1,dual,CG,16,True,1,11610,12345.46,2097,1543.18,8,16,floating point,30906,dynamic=true,1
run_1,dual,CG,16,True,2,11490,12471.87,1990,1558.98,8,16,floating point,30905,dynamic=true,2
run_1,dual,CG,32,True,1,6840,20964.98,1334,1310.31,16,32,floating point,43172,dynamic=true,1
run_1,dual,CG,32,True,2,7780,18424.76,1410,1151.55,16,32,floating point,43173,dynamic=true,2
run_1,dual,EP,2,False,1,55620,154.45,,77.22,2,2,Random numbers generated,6175,dynamic=false,1
run_1,dual,EP,2,False,2,56570,151.84,,75.92,2,2,Random numbers generated,6174,dynamic=false,2
run_1,dual,EP,4,False,1,28430,302.13,,75.53,4,4,Random numbers generated,21589,dynamic=false,1
run_1,dual,EP,4,False,2,28070,306.04,,76.51,4,4,Random numbers generated,21588,dynamic=false,2
run_1,dual,EP,8,False,1,14120,608.21,,76.03,8,8,Random numbers generated,26709,dynamic=false,1
run_1,dual,EP,8,False,2,14470,593.79,,74.22,8,8,Random numbers generated,26707,dynamic=false,2
run_1,dual,EP,16,False,1,9830,873.98,,54.62,16,16,Random numbers generated,34738,dynamic=false,1
run_1,dual,EP,16,False,2,7670,1120.5,,70.03,16,16,Random numbers generated,34740,dynamic=false,2
run_1,dual,EP,32,False,1,3710,2317.96,,72.44,32,32,Random numbers generated,43348,dynamic=false,1
run_1,dual,EP,32,False,2,3830,2243.2,,70.1,32,32,Random numbers generated,43350,dynamic=false,2
run_1,dual,EP,2,True,1,46770,183.68,,91.84,2,2,Random numbers generated,6172,dynamic=true,1
run_1,dual,EP,2,True,2,65650,130.84,,130.84,1,2,Random numbers generated,6173,dynamic=true,2
run_1,dual,EP,4,True,1,23310,368.48,,92.12,4,4,Random numbers generated,21587,dynamic=true,1
run_1,dual,EP,4,True,2,34970,245.61,,122.81,2,4,Random numbers generated,21586,dynamic=true,2
run_1,dual,EP,8,True,1,18820,456.47,,114.12,4,8,Random numbers generated,26708,dynamic=true,1
