kernel,mode,threads,pool_multiplier,mean_seconds,capacity,karp_flatt_fraction,predicted_seconds,predicted_capacity
EP,dynamic=true,2,1.0,56.1425,1.0,,56.1425,1.0
EP,dynamic=true,4,2.0,29.128999999999998,1.9273747811459372,0.03768090127799795,28.619498410174877,1.961687070659494
EP,dynamic=true,8,4.0,15.1615,3.7029647462322326,0.02673850766650343,14.857997615262322,3.7786047254664865
EP,dynamic=true,16,8.0,7.946,7.0655046564309085,0.01889452222978519,7.977247217806042,7.037828773149229
EP,dynamic=true,32,16.0,4.0515,13.857213377761322,0.010308886612934358,4.536872019077901,12.374715390673664
EP,dynamic=false,2,1.0,56.114,1.0,,56.114,1.0
EP,dynamic=false,4,2.0,28.29,1.9835277483209615,0.008304522935452807,28.26198092209857,1.985494228259259
EP,dynamic=false,8,4.0,14.299,3.924330372753339,0.006427391857052915,14.335971383147854,3.9142098222909985
EP,dynamic=false,16,8.0,7.5745000000000005,7.408277774110502,0.011410445063365924,7.372966613672496,7.610776359130894
EP,dynamic=false,32,16.0,3.718,15.092522861753631,0.004008506492735024,3.8914642289348174,14.419765080394862
FT,dynamic=true,2,1.0,104.2865,1.0,,104.2865,1.0
FT,dynamic=true,4,2.0,53.0065,1.9674285229170008,0.016555354719930193,52.676077106518285,1.9797696739853716
FT,dynamic=true,8,4.0,26.595,3.9212821959014854,0.006691502095988788,26.870865659777426,3.8810249480017616
FT,dynamic=true,16,8.0,13.838000000000001,7.536240786240786,0.00879102965662588,13.968259936406996,7.465962150961033
FT,dynamic=true,32,16.0,7.683,13.573669139658989,0.011916850854776657,7.51695707472178,13.873499471042262
FT,dynamic=false,2,1.0,107.8135,1.0,,107.8135,1.0
FT,dynamic=false,4,2.0,57.0435,1.8900225266682444,0.058188445788328824,55.69954769475357,1.9356261309489078
FT,dynamic=false,8,4.0,30.101,3.581724859639215,0.038926788698384986,29.642571542130366,3.6371169703265096
FT,dynamic=false,16,8.0,16.3455,6.595913248294638,0.030410318347357763,16.61408346581876,6.4892836382946895
FT,dynamic=false,32,16.0,9.267,11.634131865760226,0.025017584377961317,10.099839427662957,10.674773670629278
CG,dynamic=true,2,1.0,86.439,1.0,,86.439,1.0
CG,dynamic=true,4,2.0,44.489,1.9429297129627547,0.02937331528592413,44.05644356120826,1.9620058500616153
CG,dynamic=true,8,4.0,22.705,3.8070469059678484,0.016894380237315747,22.865165341812396,3.7803793984351066
CG,dynamic=true,16,8.0,11.817,7.314800710840314,0.01338185640410334,12.269526232114467,7.045015297636602
CG,dynamic=true,32,16.0,7.2915,11.854762394569018,0.02331123682596976,6.971706677265501,12.398542279736846
CG,dynamic=false,2,1.0,96.2195,1.0,,96.2195,1.0
CG,dynamic=false,4,2.0,53.027,1.8145378769306202,0.10220901168682017,51.80185930047695,1.8574526339272552
CG,dynamic=false,8,4.0,31.1315,3.0907441016333936,0.09806224310041108,29.59303895071542,3.2514234229287853
CG,dynamic=false,16,8.0,17.8305,5.39634334426965,0.06892647985669671,18.48862877583466,5.204252904128971
CG,dynamic=false,32,16.0,11.6665,8.247503535764796,0.06266539873241218,12.936423688394278,7.43787481901369
